user_id   song_id   count     
14        930       1         
100       994       1         
69        897       20        
35        1227      15        
53        126       6         
18        1202      11        
99        229       9         
79        667       19        
40        318       10        
89        686       6         
74        992       1         
62        389       7         
79        1181      6         
4         65        5         
7         396       11        
41        650       2         
97        1165      13        
34        554       14        
43        696       14        
39        14        11        
2         1131      8         
61        1158      10        
71        21        7         
85        890       2         
93        665       5         
34        1204      10        
17        1171      11        
55        1000      7         
46        128       1         
49        590       20        
65        395       2         
28        1211      14        
36        17        17        
94        876       4         
21        679       8         
68        966       12        
63        459       2         
44        1040      7         
82        448       11        
23        455       4         
44        740       19        
64        865       3         
93        33        14        
65        663       6         
92        797       12        
91        1076      12        
68        644       1         
74        135       17        
86        534       3         
61        1164      17        
52        217       17        
62        273       10        
84        541       19        
34        68        4         
95        138       15        
33        109       2         
58        175       14        
68        656       9         
88        327       15        
64        1019      16        
94        517       9         
84        208       9         
75        1082      3         
10        191       18        
58        278       16        
18        798       13        
42        874       9         
90        322       14        
94        438       6         
14        50        2         
8         571       19        
71        1260      11        
98        668       17        
30        312       8         
76        409       8         
56        879       8         
53        338       6         
44        226       13        
79        116       5         
83        1099      6         
82        1278      4         
63        2         16        
84        12        8         
44        136       5         
73        70        4         
9         453       15        
95        932       11        
72        732       20        
15        329       9         
83        913       12        
17        823       7         
78        106       16        
30        181       13        
6         663       18        
39        489       16        
60        206       1         
63        202       20        
36        910       20        
97        747       15        
20        1260      1         
67        1206      18        
83        1212      18        
35        549       5         
26        883       2         
60        399       17        
88        678       16        
97        755       13        
55        1071      14        
95        730       14        
22        555       7         
69        187       7         
4         82        9         
97        1046      5         
47        469       12        
18        763       5         
96        910       3         
5         379       1         
36        1071      16        
14        1209      9         
73        677       20        
65        965       20        
55        1214      8         
87        1151      18        
33        781       9         
30        852       18        
96        398       20        
62        248       17        
95        1237      7         
95        1145      5         
2         274       8         
60        114       18        
81        862       18        
76        1022      15        
2         1159      11        
31        304       1         
70        468       11        
72        1262      13        
61        296       12        
78        622       14        
35        769       17        
73        193       10        
45        264       1         
5         455       19        
77        818       11        
50        488       12        
33        244       11        
10        606       17        
66        404       1         
88        240       12        
65        90        17        
61        415       8         
22        363       20        
62        1160      9         
33        802       2         
25        1118      19        
59        108       7         
51        900       18        
69        774       12        
50        324       8         
10        15        4         
38        469       6         
58        40        16        
34        639       2         
32        76        13        
11        852       11        
45        1111      15        
86        716       20        
35        1223      19        
42        650       14        
31        575       15        
9         1270      20        
84        1062      14        
34        149       13        
98        1080      17        
62        335       8         
25        736       1         
4         455       10        
82        427       17        
46        287       18        
41        1182      6         
23        1265      6         
46        972       9         
12        150       11        
27        478       11        
56        957       13        
17        1201      15        
64        106       1         
23        8         15        
61        1228      19        
21        98        5         
9         824       12        
16        54        13        
29        250       6         
92        193       4         
36        204       7         
56        116       3         
81        809       9         
77        297       10        
15        1206      7         
60        704       9         
82        906       1         
69        701       9         
54        102       2         
30        1107      3         
72        1142      2         
81        230       16        
79        879       18        
77        91        15        
42        442       10        
66        472       11        
91        1222      5         
84        970       17        
83        899       15        
100       1136      8         
71        788       19        
66        690       5         
85        1202      11        
58        150       7         
100       191       10        
75        43        20        
71        63        14        
72        591       9         
45        497       5         
67        985       7         
41        891       17        
98        101       15        
31        1051      6         
86        618       2         
63        1278      4         
33        509       2         
99        146       5         
20        506       16        
56        928       18        
43        768       5         
49        54        7         
11        1221      8         
29        172       18        
37        292       2         
9         1144      18        
64        782       2         
19        492       15        
17        1058      12        
9         876       11        
39        1023      6         
61        289       18        
8         1039      8         
56        730       20        
83        56        18        
72        940       9         
14        314       7         
1         975       14        
9         405       5         
63        589       19        
21        119       4         
54        1200      1         
55        18        1         
74        722       12        
15        299       2         
12        1219      4         
27        234       12        
91        1153      7         
44        620       2         
19        315       8         
28        899       16        
11        553       8         
42        680       17        
21        30        8         
68        768       14        
74        44        3         
77        666       16        
5         898       19        
39        721       7         
88        740       18        
7         243       3         
57        1191      14        
77        211       11        
31        564       15        
17        949       3         
50        51        3         
60        412       2         
94        977       19        
76        105       16        
6         132       9         
90        296       10        
30        597       15        
96        1221      2         
95        905       11        
95        685       5         
10        346       19        
33        603       4         
12        880       5         
76        78        14        
78        185       19        
40        37        16        
82        466       20        
54        152       20        
96        123       3         
9         1094      19        
86        362       17        
100       1058      8         
67        796       12        
40        626       7         
94        533       2         
41        126       5         
92        859       13        
4         335       20        
34        605       15        
14        142       18        
51        316       10        
11        1049      4         
43        165       17        
80        219       1         
94        1013      7         
98        560       13        
88        216       18        
33        741       2         
31        848       20        
95        915       12        
97        1247      8         
90        156       2         
77        137       2         
17        432       6         
4         659       1         
48        721       7         
82        26        7         
42        702       10        
11        1066      6         
67        1022      13        
86        1212      20        
96        455       7         
44        807       19        
39        786       10        
67        1163      5         
63        1260      9         
42        655       4         
13        1270      11        
50        970       3         
35        1166      8         
27        172       1         
56        135       2         
83        1224      17        
81        1021      6         
72        419       15        
21        42        4         
67        37        14        
31        327       20        
79        1166      19        
68        875       1         
87        430       17        
63        927       5         
5         278       17        
34        179       9         
3         636       19        
97        336       5         
27        352       1         
43        788       10        
